organization,yof,badge,zip_code,city,regular,retro,other,overtime,injured,detail,quinn,total,rank,ia_score,ia_sustained_conduct_unbecoming,ia_sustained_neg_duty,ia_sustained_respectful_treatment,ia_sustained_self_identification,ia_sustained_use_of_force,ia_sustained_details,ia_sustained_cases,ia_sustained_allegations,ia_cases,ia_allegations,field_contacts_count,incidents_count,complaints_count,swats_count,details_count,citations_count,articles_officers_count,rounded_total
District 11,25,1561,2359,Pembroke,106815.92,0,800,6970.83,0,3864,0,118450.75,ptl,1,0,0,0,0,0,0,0,0,2,2,1,233,2,0,16,1,0,120000
District 04,5,675,2132,West Roxbury,88185.46,0,800,18894.91,0,2392,8184.21,118456.58,ptl,0,0,0,0,0,0,0,0,0,0,0,5,494,0,0,9,0,1,120000
Operations Division,14,1407,2132,West Roxbury,71287.68,0,8566.26,10445.32,0,0,28193.74,118493,sergt,4,0,0,0,0,1,0,1,1,2,2,428,3,2,0,0,0,2,120000
Evidence Control Unit,21,,2131,Roslindale,104027.31,0,800,13756.09,0,0,0,118583.4,ptl,1,0,0,0,0,0,0,0,0,2,2,0,281,2,0,0,0,0,120000
District 11,15,2267,2062,Norwood,40844.5,0,850,7128.04,57561.82,12512,0,118896.36,ptl,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,35,0,2,120000
Medically Incapacitated Unit,24,,2122,Boston,31897.89,0,7898.92,334.07,73938.82,4830,0,118899.7,ptl,1,0,0,0,0,0,0,0,0,2,2,0,1,2,0,13,0,0,120000
Medically Incapacitated Unit,14,,2766,Norton,0,0,10525.38,0,88639.6,0,19804.32,118969.3,ptl,1,0,0,0,0,0,0,0,0,3,3,2,0,3,0,0,0,4,120000
Explosive Ordinance Unit,14,6587,1945,Marblehead,99726.75,0,2149.7,15909.87,0,1288,0,119074.32,ptl,3,0,0,1,0,0,0,1,1,4,7,0,65,4,0,5,0,0,120000
District 04,13,6617,2127,Boston,52436.08,0,800,20042.6,45970.24,0,0,119248.92,ptl,0,0,0,0,0,0,0,0,0,1,1,12,271,1,0,0,1,1,120000
Medically Incapacitated Unit,9,,2135,Brighton,11847.32,0,10068.32,938.69,78375.74,0,18044.62,119274.69,ptl,4,0,0,2,0,0,0,2,2,2,3,38,12,2,0,0,0,0,120000
Youth Violence Strike Force,6,797,2124,Boston,88260.38,0,3950.95,12452.32,0,6440,8199.19,119302.84,ptl,0,0,0,0,0,0,0,0,0,1,1,44,143,1,0,19,0,0,120000
District 14,31,2308,2124,Boston,96995.89,0,800,2133.42,0,0,19399.18,119328.49,ptl,1,0,0,0,0,0,0,0,0,4,6,0,542,4,0,0,0,0,120000
Bureau of Community Engagement,26,6442,2124,Boston,96335.4,0,800,2945.58,0,0,19267.24,119348.22,ptl,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,5,120000
Medically Incapacitated Unit,13,435,2132,West Roxbury,0,0,12337.93,0,89327.3,0,17865.5,119530.73,ptl,1,0,0,0,0,0,0,0,0,3,5,0,6,3,0,0,0,0,120000
Mobile Operations Patrol Unit,12,2565,2169,Quincy,85319.33,0,800,14334.84,0,782,18352.27,119588.44,ptl,0,0,0,0,0,0,0,0,0,1,1,0,2,1,15,2,4,0,120000
Medically Incapacitated Unit,10,5048,2132,West Roxbury,19417.14,0,800,1792.13,72660.24,6624,18415.44,119708.95,ptl,3,0,1,0,0,0,0,2,2,7,7,0,126,7,0,19,0,0,120000
Crime Scene Response Unit,7,,2132,West Roxbury,76107.84,0,800,13380.56,17188.52,12328,0,119804.92,ptl,3,0,0,1,0,0,0,1,1,1,1,4,44,1,0,34,1,1,120000
Explosive Ordinance Unit,25,1728,2364,Kingston,108994.85,0,800,10008.89,0,230,0,120033.74,ptl,1,0,0,0,0,0,0,0,0,3,5,0,12,3,0,1,0,0,120000
District 04,19,3143,2359,Pembroke,96775.72,0,850,8505.21,0,13984,0,120114.93,ptl,0,0,0,0,0,0,0,0,0,1,1,42,59,1,0,44,0,1,120000
District 01,15,2387,2132,West Roxbury,94530.36,0,800,1467.4,0,0,23565.72,120363.48,sergt,0,0,0,0,0,0,0,0,0,0,0,20,17,0,0,0,21,14,120000
District 11,26,4212,2124,Boston,35818.18,0,5541.24,9154.91,69984.66,0,0,120498.99,ptl,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,120000
District 01,32,620,2113,Boston,106505.51,0,2705,11290.68,0,0,0,120501.19,ptl,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,10,120000
Bicycle Unit,10,,2121,Boston,48161.36,0,4167.96,13766.35,46040.96,8464,0,120600.63,ptl,2,0,0,0,0,0,0,1,1,2,3,0,3,2,0,25,4,2,120000
Harbor Patrol Unit,21,,2021,Canton,62933.99,0,7898.92,9614.46,39245.56,920,0,120612.93,ptl,1,0,0,0,0,0,0,0,0,3,4,0,6,3,0,5,0,1,120000
Bicycle Unit,7,,2127,Boston,92527.45,0,800,27163.11,0,184,0,120674.56,ptl,0,0,0,0,0,0,0,0,0,0,0,44,103,0,0,1,0,0,120000
B-2 Detective,9,4308,2122,Boston,92480.59,0,800,7553.58,0,19872,0,120706.17,det,0,0,0,0,0,0,0,0,0,1,1,214,177,1,0,79,0,0,120000
District 11,15,4216,2122,Boston,96775.72,0,800,16879.96,0,6256,0,120711.68,ptl,0,0,0,0,0,0,0,0,0,1,1,1,230,1,0,17,0,0,120000
District 07,25,1462,2081,Walpole,106815.92,0,800,13144.87,0,0,0,120760.79,ptl,2,0,0,0,0,0,0,1,1,2,2,0,36,2,0,0,0,1,120000
Medically Incapacitated Unit,28,2596,2171,Quincy,474.12,0,16021.97,0,104355.4,0,0,120851.49,ptl,3,0,1,0,0,0,0,1,1,2,4,0,0,2,0,0,0,3,120000
District 01,16,2112,1810,Andover,98136.15,0,800,11027.92,0,11040,0,121004.07,ptl,0,0,0,0,0,0,0,0,0,1,3,18,248,1,0,31,0,0,120000
District 11,5,4075,2136,Hyde Park,88234.78,0,800,30916.12,0,1104,0,121054.9,ptl,0,0,0,0,0,0,0,0,0,0,0,2,473,0,0,3,0,0,120000
District 14,20,482,2132,West Roxbury,92260.17,0,8629.31,10765.69,0,184,9226.19,121065.36,ptl,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,120000
District 01,17,6009,2136,Hyde Park,104690.5,0,800,15797.38,0,0,0,121287.88,ptl,0,0,0,0,0,0,0,0,0,0,0,25,275,0,0,0,0,0,120000
District 14,7,2573,2131,Roslindale,64675.65,0,800,8368.07,25387.1,4232,18012.6,121475.42,ptl,0,0,0,0,0,0,0,0,0,1,2,27,287,1,0,12,0,0,120000
Medically Incapacitated Unit,12,1357,2124,Boston,81294.75,0,800,22139.68,10114.63,7130,0,121479.06,ptl,3,0,0,1,0,0,0,2,2,2,2,0,136,2,0,27,0,0,120000
District 02,10,,2109,Boston,90223.06,0,800,10210.4,0,2208,18044.62,121486.08,ptl,3,0,0,1,0,0,0,1,1,1,1,42,395,1,0,4,6,0,120000
Medically Incapacitated Unit,7,,2129,Charlestown,64610.78,0,800,14422.28,27869.81,13846,0,121548.87,ptl,0,0,0,0,0,0,0,0,0,0,0,5,260,0,0,46,5,0,120000
District 02,6,1770,2132,West Roxbury,90151.12,0,850,30605.53,0,0,0,121606.65,ptl,0,0,0,0,0,0,0,0,0,1,1,109,189,1,0,0,2,1,120000
Canine Unit,15,6443,2131,Roslindale,93619.89,0,3501.88,5812.98,0,0,18724.1,121658.85,ptl,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,120000
Medically Incapacitated Unit,32,,2072,Stoughton,477.71,0,14940.34,0,106338.21,0,0,121756.26,ptl,0,0,0,0,0,0,0,0,0,0,0,11,67,0,0,0,0,0,120000
Crime Scene Response Unit,14,6601,2122,Boston,65175.73,0,800,9871.96,27443.86,0,18524,121815.55,ptl,0,0,0,0,0,0,0,0,0,1,2,82,49,1,0,0,2,1,120000
Crime Scene Response Unit,6,717,2132,West Roxbury,89672.11,0,800,22568.02,0,4646,4182.35,121868.48,ptl,1,0,0,0,0,0,0,0,0,2,3,75,453,2,0,11,13,0,120000
Harbor Patrol Unit,6,1395,2124,Boston,90151.12,0,850,26464.45,0,4600,0,122065.57,ptl,0,0,0,0,0,0,0,0,0,0,0,47,194,0,0,14,0,4,120000
Medically Incapacitated Unit,15,6438,2122,Boston,0,0,11968.86,0,91761.18,0,18352.27,122082.31,ptl,1,0,0,0,0,0,0,0,0,2,2,12,0,2,0,0,0,0,120000
Youth Violence Strike Force,27,,2066,Scituate,85017.47,0,15505.15,4752.16,0,0,17003.57,122278.35,det,5,1,1,0,0,0,0,1,5,3,11,0,16,3,0,0,0,1,120000
Academy,24,2949,2301,Brockton,98141.61,0,800,3838.83,0,0,19628.44,122408.88,ptl,3,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,120000
District 07,12,722,2128,Boston,70950.12,0,800,11607.39,27016.3,12144,0,122517.81,ptl,4,1,0,1,0,0,0,2,3,6,7,16,269,6,0,31,8,0,125000
Youth Violence Strike Force,10,2364,2127,Boston,91806.84,0,850,14819.88,0,6624,8459.57,122560.29,ptl,2,0,0,0,0,0,0,1,2,1,2,21,6,1,0,23,0,2,125000
E-5 Detective,15,,1864,North Reading,102514.27,0,800,13274.5,1384,4600,0,122572.77,det,0,0,0,0,0,0,0,0,0,1,1,9,197,1,0,16,0,0,125000
Medically Incapacitated Unit,13,47,2021,Canton,36839.06,0,6981.03,407.22,55421.11,0,23065.07,122713.49,ptl,0,0,0,0,0,0,0,0,0,0,0,2,138,0,0,0,0,0,125000
District 04,34,,2136,Hyde Park,98809.32,0,2569.21,8921.45,0,2576,9881,122756.98,ptl,2,0,0,0,0,0,1,1,1,1,2,10,70,1,0,9,9,3,125000
District 01,25,,2169,Quincy,98315.7,0,850,13604.63,0,184,9831.56,122785.89,ptl,0,0,0,0,0,0,0,0,0,0,0,2,60,0,0,1,0,2,125000
District 01,24,1976,2054,Millis,97424.8,0,800,11548.65,0,3312,9742.46,122827.91,ptl,4,1,1,0,0,0,0,2,2,9,18,2,86,9,0,9,22,1,125000
District 06,33,,2171,Quincy,96779.61,0,850,5909.19,0,0,19355.92,122894.72,ptl,1,0,0,0,0,0,0,0,0,2,2,32,322,2,0,0,0,14,125000
Medically Incapacitated Unit,14,,2186,Milton,11538.55,0,800,13678.35,87079.65,0,9861.87,122958.42,det,2,0,0,0,0,0,0,1,1,1,1,0,11,1,0,0,0,1,125000
District 03,6,863,2131,Roslindale,88260.38,0,800,25380.31,0,368,8199.19,123007.88,ptl,0,0,0,0,0,0,0,0,0,1,1,3,454,1,0,1,0,0,125000
Office of Media Relations,14,,2132,West Roxbury,96775.72,0,3272.01,22138.36,0,920,0,123106.09,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,38,125000
Mobile Operations Patrol Unit,7,6619,2124,Boston,91049.67,0,850,19023.99,2694.36,9568,0,123186.02,ptl,5,1,0,1,0,0,0,1,4,3,7,4,111,3,0,28,50,0,125000
District 13,34,,2492,Needham,106145.86,0,850,11308.9,0,4922,0,123226.76,ptl,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,15,2,0,125000
Youth Violence Strike Force,7,,2132,West Roxbury,90223.06,0,800,14174.69,0,0,18044.62,123242.37,ptl,1,0,0,0,0,0,0,0,0,2,2,457,177,2,0,0,1,0,125000
District 14,16,,2090,Westwood,92311.77,0,800,16970.75,0,4048,9231.35,123361.87,ptl,0,0,0,0,0,0,0,0,0,1,1,6,128,1,0,16,5,0,125000
Medically Incapacitated Unit,12,340,2126,Mattapan,67691.57,0,850,24111.41,30714.75,0,0,123367.73,ptl,0,0,0,0,0,0,0,0,0,0,0,2,116,0,0,0,2,1,125000
District 18,22,,2136,Hyde Park,43239.46,0,800,6477.63,53565.51,0,19361.1,123443.7,ptl,0,0,0,0,0,0,0,0,0,1,2,0,97,1,0,0,1,3,125000
Medically Incapacitated Unit,25,,2191,Weymouth,26425.94,0,6532.57,7515.97,80350.53,2622,0,123447.01,ptl,3,0,0,0,0,0,0,1,1,4,5,114,3,4,0,8,0,0,125000
Special Operations Division,35,,2121,Boston,106035.82,0,12178.98,5242.94,0,0,0,123457.74,ptl,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,125000
Youth Violence Strike Force,9,1228,2135,Brighton,92565.83,0,800,24460.12,673.59,736,4272.01,123507.55,ptl,1,0,0,0,0,0,0,0,0,2,3,330,177,2,0,2,16,0,125000
Crime Stoppers Unit,16,1696,2129,Charlestown,93381.28,0,850,10248.41,0,368,18676.35,123524.04,ptl,0,0,0,0,0,0,0,0,0,1,1,0,108,1,0,2,0,2,125000
District 01,14,,2136,Hyde Park,93765.58,0,3300,11595.88,1777.69,13156,0,123595.15,ptl,3,1,0,0,0,0,0,1,2,2,4,62,192,2,0,61,1,0,125000
District 03,31,294,2210,Boston,106035.82,0,11704.85,5855.47,0,0,0,123596.14,ptl,4,1,1,0,0,0,0,2,3,2,4,0,0,2,0,0,0,0,125000
Medically Incapacitated Unit,21,,2122,Boston,0,0,14311.41,0,89480.33,0,20014.51,123806.25,ptl,3,0,0,1,0,0,0,1,1,1,2,3,0,1,0,0,0,23,125000
District 13,12,,2467,Chestnut Hill,94156.49,0,800,10057.96,0,0,18831.42,123845.87,ptl,0,0,0,0,0,0,0,0,0,1,1,31,73,1,0,0,0,0,125000
District 04,10,2421,2122,Boston,91748.28,0,800,12616.81,329.1,0,18415.44,123909.63,ptl,2,0,0,0,0,0,0,1,1,2,3,430,193,2,0,0,2,0,125000
School Police,10,5174,2127,Boston,90223.06,0,800,6401.37,0,8464,18044.62,123933.05,ptl,0,0,0,0,0,0,0,0,0,1,2,104,113,1,0,30,0,0,125000
District 01,12,,2127,Boston,91941.67,0,4096.55,4869.06,0,184,22985.43,124076.71,ptl,0,0,0,0,0,0,0,0,0,0,0,5,63,0,0,1,0,0,125000
Medically Incapacitated Unit,37,,1905,Lynn,0,0,17115.23,0,107043.32,0,0,124158.55,det,2,0,0,0,0,0,1,1,1,3,4,0,0,3,0,0,0,4,125000
Court Unit,22,,2124,Boston,96335.4,0,800,7758.81,0,0,19267.24,124161.45,ptl,3,0,1,0,0,0,0,1,1,4,5,12,34,4,0,0,0,1,125000
E-18 Detective,15,,2169,Quincy,105858.93,0,800,16761.41,0,782,0,124202.34,det,0,0,0,0,0,0,0,0,0,1,1,20,227,1,0,3,0,0,125000
District 05,26,,2762,Plainville,106679.14,0,800,8463.13,0,8280,0,124222.27,ptl,1,0,0,0,0,0,0,0,0,2,3,9,53,2,0,27,0,2,125000
Youth Violence Strike Force,9,1793,2124,Boston,92229.05,0,800,18255.52,0,4416,8544.01,124244.58,ptl,2,0,0,0,0,0,0,2,3,3,4,183,8,3,0,11,0,0,125000
Medically Incapacitated Unit,34,,2119,Boston,0,0,14664.22,0,91320.92,0,18264.2,124249.34,ptl,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,125000
Canine Unit,14,,2136,Hyde Park,98737.82,0,2565.6,17287.55,0,5704,0,124294.97,ptl,1,0,0,0,0,0,0,0,0,4,4,0,0,4,0,18,0,1,125000
Canine Unit,26,1609,2124,Boston,65843.94,0,4500.09,12775.62,37617.02,3634,0,124370.67,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,125000
Administrative Leave Unit,34,,2124,Boston,109708.45,0,12087.57,2651.85,0,0,0,124447.87,ptl,4,0,1,0,0,0,0,2,2,2,2,0,0,2,0,0,0,6,125000
Medically Incapacitated Unit,20,,2124,Boston,92610.53,0,850,6981.06,692.08,0,23325.74,124459.41,ptl,2,0,0,0,0,0,0,0,0,6,12,35,1,6,0,0,0,0,125000
Medically Incapacitated Unit,22,2492,2124,Boston,0,0,11126.46,0,90691.36,0,22672.84,124490.66,ptl,4,1,1,1,0,0,0,2,6,7,11,0,0,7,0,0,0,1,125000
District 13,20,2125,2125,Boston,97362.78,0,800,26615.32,0,0,0,124778.1,ptl,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,5,125000
Medically Incapacitated Unit,30,2830,1821,Billerica,0,0,11415.25,0,94524.62,0,18904.82,124844.69,ptl,4,1,1,0,0,0,0,3,3,6,7,0,7,6,0,0,0,0,125000
Medically Incapacitated Unit,29,,2324,Bridgewater,0,0,13184.45,0,93197.72,0,18639.44,125021.61,ptl,5,2,1,4,0,0,0,9,15,14,30,0,0,14,0,0,0,0,125000
District 13,16,1747,2136,Hyde Park,60143.09,0,800,25870.1,37853.59,414,0,125080.78,sergt,5,2,1,0,0,0,0,5,7,9,15,1,192,9,0,1,0,0,125000
City Wide DCU SQ #2,12,,2132,West Roxbury,95478.88,0,850,25538.2,0,3312,0,125179.08,ptl,3,0,1,0,0,0,0,1,1,2,2,10,158,2,0,11,0,2,125000
Financial Evidence Unit,29,,2062,Norwood,102552.44,0,800,1383.89,0,0,20510.59,125246.92,det,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125000
District 04,14,4839,2124,Boston,96775.72,0,800,13047.67,0,14628,0,125251.39,ptl,3,0,1,0,0,0,0,1,1,5,8,23,250,5,0,42,1,15,125000
District 11,7,2582,2127,Boston,77676.54,0,800,11019.43,16093.17,19688,0,125277.14,ptl,0,0,0,0,0,0,0,0,0,0,0,22,131,0,0,55,1,0,125000
District 18,10,504,2136,Hyde Park,47337.83,0,800,16327.45,42885.23,0,18044.62,125395.13,ptl,0,0,0,0,0,0,0,0,0,1,1,4,251,1,0,0,0,0,125000
District 05,13,4870,2127,Boston,96775.72,0,800,5833.66,0,22126,0,125535.38,ptl,0,0,0,0,0,0,0,0,0,1,1,12,139,1,0,78,4,2,125000
Fugitive Section,13,,2081,Walpole,37311.12,0,2910.34,12091.23,54949.05,0,18452.08,125713.82,ptl,1,0,0,0,0,0,0,0,0,3,4,2,45,3,0,0,0,1,125000
School Police,15,,2062,Norwood,92847.15,0,4117.79,10204.79,0,0,18569.44,125739.17,ptl,1,0,0,0,0,0,0,0,0,2,3,0,57,2,0,0,0,0,125000
Office of Media Relations,10,,2132,West Roxbury,89417.12,0,2008.91,16168.41,0,368,17883.44,125845.88,ptl,0,0,0,0,0,0,0,0,0,1,1,53,17,1,0,2,0,1,125000
Youth Violence Strike Force,10,,2132,West Roxbury,90223.06,0,4073.76,18375.63,0,0,13208.99,125881.44,ptl,1,0,0,0,0,0,0,0,0,3,3,163,20,3,0,0,0,0,125000
District 06,7,,2125,Boston,87803.2,0,850,14475.3,6399.12,16422,0,125949.62,ptl,1,0,0,0,0,0,0,0,0,2,2,53,77,2,0,66,1,0,125000
Medically Incapacitated Unit,23,,2126,Mattapan,0,0,14906.05,0,92555.16,0,18510.88,125972.09,ptl,5,1,4,1,0,0,2,7,10,20,28,0,0,20,0,0,0,3,125000
Medically Incapacitated Unit,26,2550,2119,Boston,95449.96,0,800,6746.46,0,13524,9545.12,126065.54,ptl,2,0,0,0,0,0,1,2,2,2,2,0,190,2,0,32,7,0,125000
D-14 Detective,21,3517,2121,Boston,41141.81,0,850,10720.93,69074.76,4324,0,126111.5,det,5,2,2,1,0,1,1,6,10,13,24,0,8,13,0,14,0,2,125000
Medically Incapacitated Unit,16,1409,1890,Winchester,22874.8,0,800,5903.75,76881.47,19688,0,126148.02,ptl,2,0,0,0,0,0,0,0,0,9,13,3,95,9,0,51,0,32,125000
District 05,14,3499,2021,Canton,92260.17,0,800,5821.49,0,8832,18452.08,126165.74,ptl,0,0,0,0,0,0,0,0,0,0,0,5,553,0,0,31,2,0,125000
Youth Violence Strike Force,7,,2132,West Roxbury,94202.32,0,2112.99,29503.3,0,368,0,126186.61,ptl,1,0,0,0,0,0,0,0,0,3,3,56,53,3,0,1,0,2,125000
District 07,13,,2128,Boston,96775.72,0,850,9525.09,0,19182,0,126332.81,ptl,3,0,1,0,0,0,0,1,1,3,3,19,148,3,0,86,0,0,125000
Human Trafficking Unit,9,1311,2136,Hyde Park,91850.16,0,800,15371.12,0,0,18370.12,126391.4,det,0,0,0,0,0,0,0,0,0,0,0,279,18,0,0,0,0,5,125000
District 03,7,,2126,Mattapan,41350.11,0,800,11294.39,52852.21,20102,0,126398.71,ptl,0,0,0,0,0,0,0,0,0,0,0,3,169,0,0,58,0,0,125000
A-7 Detective,33,,2176,Melrose,111583.91,0,850,13421.66,0,552,0,126407.57,det,1,0,0,0,0,0,0,0,0,2,4,0,8,2,0,2,0,1,125000
Bicycle Unit,13,1741,2136,Hyde Park,76199.71,0,800,19002.8,12653.25,0,17770.59,126426.35,ptl,2,0,0,0,0,0,0,1,2,1,2,11,59,1,0,0,1,0,125000
Medically Incapacitated Unit,38,,2066,Scituate,62084.76,0,12822.12,2940.24,48662.12,0,0,126509.24,det,1,0,0,0,0,0,0,0,0,2,3,0,4,2,0,0,0,1,125000
District 06,7,2666,2122,Boston,94202.32,0,800,26440.66,0,5152,0,126594.98,ptl,3,0,1,0,0,0,1,2,4,3,6,14,224,3,0,17,7,0,125000
Youth Violence Strike Force,12,,2136,Hyde Park,98406.32,0,850,27437.43,0,0,0,126693.75,ptl,1,0,0,0,0,0,0,0,0,3,3,4,157,3,0,0,0,1,125000
Medically Incapacitated Unit,31,,2152,Winthrop,0,0,15003.66,0,93197.72,0,18639.44,126840.82,ptl,2,0,0,0,0,0,1,2,2,4,4,21,0,4,0,0,0,17,125000
Court Unit,26,,2050,Marshfield,96335.4,0,800,5672.73,0,0,24083.87,126892,ptl,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,125000
Evidence Control Unit,31,,2122,Boston,96519.97,0,800,5457.08,0,0,24130.02,126907.07,ptl,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,125000
District 11,9,2067,2126,Mattapan,92067.4,0,800,32609.03,0,1656,0,127132.43,ptl,0,0,0,0,0,0,0,0,0,1,1,6,202,1,0,5,11,0,125000
District 18,14,,2171,Quincy,17811.46,0,1641.34,3217.36,76345.03,4600,23539.21,127154.4,ptl,0,0,0,0,0,0,0,0,0,1,1,2,152,1,0,14,0,0,125000
Youth Violence Strike Force,10,,2136,Hyde Park,92480.59,0,4105.48,27539.06,0,3128,0,127253.13,ptl,0,0,0,0,0,0,0,0,0,1,1,150,21,1,0,9,0,0,125000
Medically Incapacitated Unit,33,,2360,Plymouth,0,0,14953.66,0,93652.51,0,18730.4,127336.57,ptl,2,0,0,0,0,0,0,1,1,3,3,0,0,3,0,0,0,0,125000
Medically Incapacitated Unit,9,,2136,Hyde Park,38302.43,0,7114.93,19651.9,53926.61,0,8544.01,127539.88,ptl,2,0,0,0,0,0,0,1,2,3,5,129,35,3,0,0,1,1,130000
District 03,7,,2122,Boston,94202.32,0,800,15633.92,0,16928,0,127564.24,ptl,0,0,0,0,0,0,0,0,0,0,0,42,220,0,0,48,8,1,130000
Office of Media Relations,7,3210,2136,Hyde Park,70110.63,0,3005.67,36273.87,18231.47,0,0,127621.64,ptl,0,0,0,0,0,0,0,0,0,0,0,5,193,0,0,0,0,0,130000
Youth Violence Strike Force,13,4242,2131,Roslindale,96775.72,0,4310.01,22077.78,0,4462,0,127625.51,ptl,1,0,0,0,0,0,0,0,0,4,5,220,27,4,0,13,1,5,130000
Street Outreach Team,14,,2093,Wrentham,93417.75,0,850,13510.23,0,1426,18683.63,127887.61,ptl,3,0,0,0,0,0,0,1,2,3,4,7,280,3,0,6,4,1,130000
Medically Incapacitated Unit,24,,2135,Brighton,0,0,14568.61,0,90691.36,0,22672.84,127932.81,ptl,3,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,130000
Fugitive Section,24,,2081,Walpole,96335.4,0,4242.15,3273.63,0,0,24083.87,127935.05,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130000
Firearms Analysis Unit,14,598,2121,Boston,97362.78,0,4281.25,19152.23,0,7222,0,128018.26,ptl,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,25,0,1,130000
Drug Control Unit,29,,2062,Norwood,107498.45,0,8972.99,11619.17,0,0,0,128090.61,ptl,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,130000
A-1 Detective,34,,2351,Abington,0,0,800,0,101862.1,0,25465.62,128127.72,det,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,6,130000
Firearms Analysis Unit,35,80,2126,Mattapan,106622.64,0,800,20707.38,0,0,0,128130.02,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130000
District 13,26,,2141,Cambridge,61723.99,0,12457.48,9926.28,43977.29,184,0,128269.04,ptl,0,0,0,0,0,0,0,0,0,1,1,0,96,1,0,1,0,2,130000
District 04,14,,2136,Hyde Park,92260.17,0,1788.97,11268,0,0,23065.07,128382.21,ptl,0,0,0,0,0,0,0,0,0,0,0,93,306,0,0,0,1,0,130000
A-1 Detective,7,2584,2124,Boston,92480.59,0,800,26674.88,0,8510,0,128465.47,det,0,0,0,0,0,0,0,0,0,1,1,57,211,1,0,24,0,1,130000
Financial Evidence Unit,26,,2122,Boston,102081.07,0,800,5206.31,0,0,20416.32,128503.7,det,2,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,130000
District 18,25,5193,2090,Westwood,96923.18,0,3811.88,8564.48,0,0,19384.69,128684.23,ptl,1,0,0,0,0,0,0,0,0,2,2,4,146,2,0,0,37,0,130000
District 03,6,3341,2132,West Roxbury,88260.38,0,800,23149.34,0,7774,8826.18,128809.9,ptl,1,0,0,0,0,0,0,0,0,2,2,18,315,2,0,21,2,0,130000
Mobile Operations Patrol Unit,6,5150,2124,Boston,88694.03,0,800,37134.92,0,2254,0,128882.95,ptl,0,0,0,0,0,0,0,0,0,0,0,11,41,0,0,9,8,0,130000
Extended Sick Unit,29,,1960,Peabody,98998.27,0,800,2753.69,0,16560,9899.9,129011.86,ptl,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,50,0,0,130000
Medically Incapacitated Unit,25,608,2127,Boston,96804.97,0,1232.39,9447.32,0,2208,19361.1,129053.78,ptl,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,9,0,4,130000
District 04,12,2323,2032,East Walpole,48803.45,0,800,20316.63,45353.04,0,13783.37,129056.49,ptl,0,0,0,0,0,0,0,0,0,0,0,2,129,0,0,0,1,0,130000
DISTRICT 07,31,62,2119,Boston,107247.51,0,800,21087.5,0,0,0,129135.01,ptl,0,0,0,0,0,0,0,0,0,1,1,3,96,1,0,0,2,26,130000
Medically Incapacitated Unit,13,1912,2043,Hingham,73826.75,0,3300,12907.69,20329.74,0,18831.42,129195.6,ptl,0,0,0,0,0,0,0,0,0,1,2,10,99,1,0,0,2,1,130000
CITYWIDE COMMUNITY LIASON UNIT,26,669,2119,Boston,111583.91,0,800,16872.59,0,0,0,129256.5,det,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,130000
District 01,6,879,2131,Roslindale,90074.2,0,800,15082.24,0,5336,18014.73,129307.17,ptl,1,0,0,0,0,0,0,0,0,2,2,38,202,2,0,20,3,1,130000
District 03,9,290,2122,Boston,92229.54,0,800,19045.9,1009.88,12144,4272.01,129501.33,ptl,1,0,0,0,0,0,0,0,0,2,2,42,230,2,0,34,8,0,130000
District 05,13,1916,2136,Hyde Park,98406.32,0,800,12635.19,0,17664,0,129505.51,ptl,1,0,0,0,0,0,0,0,0,2,3,62,111,2,0,48,3,1,130000
Medically Incapacitated Unit,31,6476,2333,East Bridgewater,0,0,14749.25,0,91873.68,0,22968.56,129591.49,ptl,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,14,130000
